,,,0.838,0.0576
,,,0.84,0.0608
,,,0.842,0.064
,,,0.844,0.0624
,,,0.846,0.0608
,,,0.848,0.0568
,,,0.85,0.0512
,,,0.852,0.044
,,,0.854,0.0344
,,,0.856,0.0248
,,,0.858,0.0112
,,,0.86,-0.0016
,,,0.862,-0.0152
,,,0.864,-0.028
,,,0.866,-0.0392
,,,0.868,-0.0488
,,,0.87,-0.0576
,,,0.872,-0.064
,,,0.874,-0.0672
,,,0.876,-0.0672
,,,0.878,-0.0672
,,,0.88,-0.0632
,,,0.882,-0.0568
,,,0.884,-0.0496
,,,0.886,-0.0408
,,,0.888,-0.0312
,,,0.89,-0.0208
,,,0.892,-0.0096
,,,0.894,0.0008
,,,0.896,0.012
,,,0.898,0.02
,,,0.9,0.0304
,,,0.902,0.0392
,,,0.904,0.0456
,,,0.906,0.052
,,,0.908,0.0576
,,,0.91,0.0592
,,,0.912,0.0616
,,,0.914,0.0624
,,,0.916,0.0608
,,,0.918,0.0576
,,,0.92,0.052
,,,0.922,0.044
,,,0.924,0.0336
,,,0.926,0.0224
,,,0.928,0.0104
,,,0.93,-0.0016
,,,0.932,-0.0144
,,,0.934,-0.0264
,,,0.936,-0.0384
,,,0.938,-0.048
,,,0.94,-0.056
,,,0.942,-0.0632
,,,0.944,-0.0664
,,,0.946,-0.0688
,,,0.948,-0.0664
,,,0.95,-0.0632
,,,0.952,-0.0568
,,,0.954,-0.0488
,,,0.956,-0.0392
,,,0.958,-0.0296
,,,0.96,-0.02
,,,0.962,-0.008
,,,0.964,0.0008
,,,0.966,0.0104
,,,0.968,0.0208
,,,0.97,0.0296
,,,0.972,0.0384
,,,0.974,0.0464
,,,0.976,0.052
,,,0.978,0.0576
,,,0.98,0.0592
,,,0.982,0.0616
,,,0.984,0.0616
,,,0.986,0.0592
,,,0.988,0.056
,,,0.99,0.0504
,,,0.992,0.0424
,,,0.994,0.0336
,,,0.996,0.0224
,,,0.998,0.0104
,,,1,-0.0008
,,,1.002,-0.0144
,,,1.004,-0.0272
,,,1.006,-0.0384
,,,1.008,-0.048
,,,1.01,-0.056
,,,1.012,-0.0624
,,,1.014,-0.0656
,,,1.016,-0.0656
,,,1.018,-0.0648
,,,1.02,-0.0616
,,,1.022,-0.0552
,,,1.024,-0.0488
,,,1.026,-0.04
,,,1.028,-0.0304
,,,1.03,-0.02
,,,1.032,-0.0096
,,,1.034,0.0024
,,,1.036,0.012
,,,1.038,0.0208
,,,1.04,0.0312
,,,1.042,0.0384
,,,1.044,0.0456
,,,1.046,0.0504
,,,1.048,0.056
,,,1.05,0.0584
,,,1.052,0.0608
,,,1.054,0.0608
,,,1.056,0.0592
,,,1.058,0.056
,,,1.06,0.0504
,,,1.062,0.0416
,,,1.064,0.0328
,,,1.066,0.0208
,,,1.068,0.0088
,,,1.07,-0.0024
,,,1.072,-0.0144
,,,1.074,-0.0272
,,,1.076,-0.0376
,,,1.078,-0.0472
,,,1.08,-0.0544
,,,1.082,-0.0608
,,,1.084,-0.0648
,,,1.086,-0.0664
,,,1.088,-0.0648
,,,1.09,-0.0608
,,,1.092,-0.0544
,,,1.094,-0.0464
,,,1.096,-0.0384
,,,1.098,-0.0296
,,,1.1,-0.0184
,,,1.102,-0.0088
,,,1.104,0.0016
,,,1.106,0.0112
,,,1.108,0.0208
,,,1.11,0.0288
,,,1.112,0.0376
,,,1.114,0.0456
,,,1.116,0.0512
,,,1.118,0.056
,,,1.12,0.0584
,,,1.122,0.06
,,,1.124,0.0592
,,,1.126,0.0576
,,,1.128,0.0536
,,,1.13,0.0488
,,,1.132,0.0408
,,,1.134,0.0328
,,,1.136,0.0216
,,,1.138,0.0096
,,,1.14,-0.0024
,,,1.142,-0.0152
,,,1.144,-0.0272
,,,1.146,-0.0392
,,,1.148,-0.048
,,,1.15,-0.056
,,,1.152,-0.06
,,,1.154,-0.064
,,,1.156,-0.064
,,,1.158,-0.0632
,,,1.16,-0.0592
,,,1.162,-0.0544
,,,1.164,-0.0472
,,,1.166,-0.0384
,,,1.168,-0.0296
,,,1.17,-0.0192
,,,1.172,-0.008
,,,1.174,0.0016
,,,1.176,0.0128
,,,1.178,0.0216
,,,1.18,0.0304
,,,1.182,0.0368
,,,1.184,0.044
,,,1.186,0.0504
,,,1.188,0.0552
,,,1.19,0.0584
,,,1.192,0.06
,,,1.194,0.06
,,,1.196,0.0584
,,,1.198,0.0528
,,,1.2,0.0488
,,,1.202,0.0408
,,,1.204,0.0304
,,,1.206,0.02
,,,1.208,0.008
,,,1.21,-0.0032
,,,1.212,-0.0152
,,,1.214,-0.0264
,,,1.216,-0.0368
,,,1.218,-0.0456
,,,1.22,-0.0544
,,,1.222,-0.0592
